"Trial.x","Fern.Number","Healthy.Fronds","Crispy.Fronds","Fiddleheads","Root.Rating..tentative.","Number.of.Weevils","Notes","Experiment","Trial.y","Treatment","Weight..g."
"Seward Trial One","W04",9,2,0,NA,3,"weevil larvae","Seward Soil","Seward Trial One","Wild",25.59
"Seward Trial One","W05",18,3,0,NA,2,"weevil larvae","Seward Soil","Seward Trial One","Wild",13.49
"Seward Trial One","W06",29,2,2,NA,0,"","Seward Soil","Seward Trial One","Wild",17.46
"Seward Trial One","W07",8,6,2,NA,0,"","Seward Soil","Seward Trial One","Wild",8.17
"Seward Trial One","W08",20,12,3,NA,0,"","Seward Soil","Seward Trial One","Wild",10.43
"Seward Trial One","W09",10,2,0,NA,0,"","Seward Soil","Seward Trial One","Wild",6.36
"Seward Trial One","W10",NA,NA,NA,NA,NA,"already taken down",NA,NA,NA,NA
"Seward Trial One","W11",33,11,0,NA,0,"","Seward Soil","Seward Trial One","Wild",35.77
"Seward Trial One","W12",24,11,0,NA,0,"","Seward Soil","Seward Trial One","Wild",34.48
"Seward Trial One","W13",23,2,1,NA,0,"","Seward Soil","Seward Trial One","Wild",11.65
"Seward Trial One","W14",5,22,3,NA,1,"","Seward Soil","Seward Trial One","Wild",24.62
"Seward Trial One","W15",17,16,0,NA,0,"","Seward Soil","Seward Trial One","Wild",9.7
"Seward Trial One","W16",4,15,1,NA,0,"","Seward Soil","Seward Trial One","Wild",14.8
"Seward Trial One","W17",0,0,0,NA,0,"","Seward Soil","Seward Trial One","Wild",2.52
"Seward Trial One","W18",4,0,0,NA,0,"","Seward Soil","Seward Trial One","Wild",4.12
"Seward Trial One","W19",15,2,1,NA,0,"","Seward Soil","Seward Trial One","Wild",9.95
"Seward Trial One","W20",37,4,1,NA,0,"","Seward Soil","Seward Trial One","Wild",7.22
"Seward Trial One","W21",19,6,0,NA,0,"","Seward Soil","Seward Trial One","Wild",4.83
"Seward Trial One","W22",NA,NA,NA,NA,NA,"already taken down",NA,NA,NA,NA
"Seward Trial One","W23",10,2,0,NA,0,"","Seward Soil","Seward Trial One","Wild",3.45
"Seward Trial One","W24",8,8,0,NA,2,"weevil larvae","Seward Soil","Seward Trial One","Wild",9.51
"Seward Trial One","W25",8,3,0,NA,0,"","Seward Soil","Seward Trial One","Wild",4.27
"Seward Trial One","W26",8,25,3,NA,0,"","Seward Soil","Seward Trial One","Wild",10.02
"Seward Trial One","W27",18,12,0,NA,0,"","Seward Soil","Seward Trial One","Wild",12.2
"Seward Trial One","W28",28,2,0,NA,0,"","Seward Soil","Seward Trial One","Wild",13.35
"Seward Trial One","W29",29,7,2,NA,1,"insect soap 1/6/25, adult weevil","Seward Soil","Seward Trial One","Wild",29.48
"Seward Trial One","W30",12,27,0,NA,0,"","Seward Soil","Seward Trial One","Wild",12.69
"Seward Trial One","W31",23,9,0,NA,2,"1 larvae, 1 adult weevil","Seward Soil","Seward Trial One","Wild",18.89
"Seward Trial One","W32",39,6,2,NA,0,"","Seward Soil","Seward Trial One","Wild",13.6
"Seward Trial One","W33",6,6,0,NA,0,"","Seward Soil","Seward Trial One","Wild",3.2
"Seward Trial One","W34",8,36,0,NA,0,"","Seward Soil","Seward Trial One","Wild",19.38
"Seward Trial One","W35",30,16,1,NA,0,"","Seward Soil","Seward Trial One","Wild",16.95
"Seward Trial One","W36",7,34,0,NA,0,"","Seward Soil","Seward Trial One","Wild",24.15
"Seward Trial One","W37",18,4,0,NA,0,"","Seward Soil","Seward Trial One","Wild",11.1
"Seward Trial One","W38",14,12,3,NA,0,"","Seward Soil","Seward Trial One","Wild",6.75
"Seward Trial One","W39",6,29,2,NA,0,"","Seward Soil","Seward Trial One","Wild",15.15
"Seward Trial One","W40",29,12,0,NA,0,"","Seward Soil","Seward Trial One","Wild",14.94
"Seward Trial One","W41",4,12,0,NA,0,"","Seward Soil","Seward Trial One","Wild",5.78
"Seward Trial One","W42",6,18,2,NA,1,"","Seward Soil","Seward Trial One","Wild",12.51
"Seward Trial One","W43",20,14,1,NA,0,"","Seward Soil","Seward Trial One","Wild",6.79
"Seward Trial One","W44",13,13,1,NA,0,"","Seward Soil","Seward Trial One","Wild",7.17
"Seward Trial One","W45",4,7,0,NA,0,"","Seward Soil","Seward Trial One","Wild",3.88
"Seward Trial Two","W46",29,9,1,NA,NA,"W46-W68 table 1, didn't get watered for ~2 weeks affecting frond conditions","Seward Soil","Seward Trial Two","Wild",12.24
"Seward Trial Two","W47",20,30,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",15.1
"Seward Trial Two","W48",0,52,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",11.83
"Seward Trial Two","W49",5,40,1,NA,NA,"","Seward Soil","Seward Trial Two","Wild",18.26
"Seward Trial Two","W50",4,51,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",17.73
"Seward Trial Two","W51",25,9,1,NA,NA,"","Seward Soil","Seward Trial Two","Wild",8.65
"Seward Trial Two","W52",0,50,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",16.82
"Seward Trial Two","W53",35,3,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",17.79
"Seward Trial Two","W54",16,21,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",12.49
"Seward Trial Two","W55",31,3,1,NA,NA,"","Seward Soil","Seward Trial Two","Wild",31.96
"Seward Trial Two","W56",11,2,6,NA,NA,"","Seward Soil","Seward Trial Two","Wild",4.38
"Seward Trial Two","W57",0,40,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",24.45
"Seward Trial Two","W58",8,27,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",15.23
"Seward Trial Two","W59",8,24,1,NA,NA,"","Seward Soil","Seward Trial Two","Wild",17.77
"Seward Trial Two","W60",17,5,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",5.48
"Seward Trial Two","W61",6,31,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",18.21
"Seward Trial Two","W62",21,19,3,NA,NA,"","Seward Soil","Seward Trial Two","Wild",14.87
"Seward Trial Two","W63",4,29,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",11
"Seward Trial Two","W64",11,19,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",7.02
"Seward Trial Two","W65",5,23,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",7.75
"Seward Trial Two","W66",14,38,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",27.11
"Seward Trial Two","W67",0,39,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",19.58
"Seward Trial Two","W68",13,27,0,NA,NA,"W68-W89 table 2, watered normally","Seward Soil","Seward Trial Two","Wild",27.01
"Seward Trial Two","W69",26,28,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",31.05
"Seward Trial Two","W70",12,25,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",23.84
"Seward Trial Two","W71",8,10,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",7.04
"Seward Trial Two","W72",21,9,1,NA,NA,"","Seward Soil","Seward Trial Two","Wild",11.67
"Seward Trial Two","W73",20,19,1,NA,NA,"","Seward Soil","Seward Trial Two","Wild",14.84
"Seward Trial Two","W74",13,28,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",12.72
"Seward Trial Two","W75",22,20,2,NA,NA,"","Seward Soil","Seward Trial Two","Wild",13.35
"Seward Trial Two","W76",29,20,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",22.29
"Seward Trial Two","W77",24,22,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",39.2
"Seward Trial Two","W78",22,44,1,NA,NA,"","Seward Soil","Seward Trial Two","Wild",17.49
"Seward Trial Two","W79",13,27,1,NA,NA,"","Seward Soil","Seward Trial Two","Wild",20.15
"Seward Trial Two","W80",9,3,1,NA,NA,"earthworm","Seward Soil","Seward Trial Two","Wild",4.8
"Seward Trial Two","W81",24,15,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",16.39
"Seward Trial Two","W82",14,18,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",10.6
"Seward Trial Two","W83",11,17,2,NA,NA,"","Seward Soil","Seward Trial Two","Wild",12.39
"Seward Trial Two","W84",26,12,1,NA,NA,"","Seward Soil","Seward Trial Two","Wild",10.28
"Seward Trial Two","W85",14,31,4,NA,NA,"","Seward Soil","Seward Trial Two","Wild",12.56
"Seward Trial Two","W86",12,38,0,NA,NA,"spider","Seward Soil","Seward Trial Two","Wild",10.9
"Seward Trial Two","W87",11,13,0,NA,NA,"earthworm","Seward Soil","Seward Trial Two","Wild",8.06
"Seward Trial Two","W88",4,25,0,NA,NA,"","Seward Soil","Seward Trial Two","Wild",10.92
"Seward Trial Two","W89",24,15,1,NA,NA,"","Seward Soil","Seward Trial Two","Wild",7.9
